Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.8007,0.4507,19.179%,101230478.00,United States,,18965,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.815,0.0244,3.086%,96454508.00,Canada,,302814,,
ASXC,Asensus Surgical Inc. Common Stock,$0.6792,0.0606,9.796%,160861654.00,United States,,1701571,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$10.46,-0.09,-0.853%,266555381.00,United States,,140043,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.1256,-0.013,-9.38%,45909964.00,United States,1997,6855973,Industrials,Military/Government/Technical
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$13.99,-0.01,-0.071%,,United States,,2375,,
AUMN,Golden Minerals Company Common Stock,$0.3139,0.006,1.949%,52571342.00,United States,,428096,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$1.0674,0.0673,6.729%,14166266.00,,2022,65015,,
AWX,Avalon Holdings Corporation Common Stock,$2.81,0.00,0.00%,10957401.00,United States,1998,74,Utilities,Environmental Services
BATL,Battalion Oil Corporation Common Stock,$11.14,-0.41,-3.55%,182081239.00,,,10436,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$17.75,-0.11,-0.616%,103632630.00,United States,1972,22165,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$23.90,0.00,0.00%,,United States,,51,,
BDL,Flanigan's Enterprises Inc. Common Stock,$26.56,0.00,0.00%,49365664.00,United States,1972,127,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$7.50,0.0099,0.132%,140482268.00,Canada,,31420,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$30.42,-0.38,-1.234%,458296160.00,United States,1997,28317,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$20.99,-0.05,-0.238%,80675107.00,,2022,28250,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$3.51,-0.01,-0.284%,59614882.00,United States,,19885,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$5.11,-0.0127,-0.248%,62538464.00,,2018,40089,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$12.27,0.02,0.163%,232470708.00,,,11801,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.68,0.08,3.077%,26683921.00,United States,1965,37747,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.13,0.08,1.975%,4437960326.00,Canada,,14315342,,
BTTR,Better Choice Company Inc. Common Stock,$0.63,-0.0156,-2.416%,18525483.00,,2021,5635,Consumer Discretionary,Food Distributors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$4.68,-0.32,-6.40%,14129641.00,Israel,,19512,Health Care,Biotechnology: Pharmaceutical Preparations
